Column1,Common Name,Botanical Name,Family,Plant Type,Mature Size,Sun Exposure,Soil Type,Soil pH,Bloom Time,Flower Color,Hardiness Zones,Native Area,Toxicity
112,"Blue beard, blue mist, blue spirea",Caryopteris×clandonensis,Lamiaceae,Deciduous shrub or woody perennial,2-4 ft. tall and wide,Full,"Medium moisture, well-drained",Neutral (6.5 to 7.5),Midsummer to early fall,"Blue, purple; pink cultivars available",6b-9a (USDA),Hybrid; parent species native to east Asia,
113,Blue Chip butterfly bush,Buddleia davidii 'Blue Chip',Scrophulariaceae,Shrub,24-36 in. tall and wide,Full sun,Well-drained,Slightlyacidicto neutral (6.0-8.0),Mid-summer to October,Light bluish-purple,5-9 (USDA),"Cultivar, no native range",
114,"Evolvulus, dwarf morning glory, Brazilian dwarf morning glory, blue daze",Evolvulus glomeratus,Convolvulaceae,Herbaceous perennial,"3/4 to 1 foot tall, 2 to 3 feet wide",Full sun,"Moist, well-drained",8-Jun,Summer through fall frost,Blue with white centers,USDA 8-11,South America (Brazil),
115,"Blue-eyed grass,narrow-leaved blue-eyed grass",Sisyrinchium angustifolium,Iridaceae,Perennial wildflower,"18-24 in. tall, 6-12 in. wide","Full, partial","Moist, well-drained",Acidic to neutral (5.0 to 7.0),Late spring,Blue-violet,4-9 (USDA),Eastern North America (Northern Florida to Canada),
116,"Blue fescue, blue fescue grass",Festuca glauca,Poaceae,"Perennial, grass","9-12 in. in high, 6-9 in. spread",Full,"Dry, well-draining","Neutral, acidic, alkaline",Summer,"Green, yellow","4, 5, 6, 7, 8",Europe,
117,"Northern blue flag, blue flag, harlequin blue flag, blue flag iris, large blue iris,larger blue flag, purple iris",Iris versicolor,,Herbaceous perennial,2 to 3 feet in height and spread,Full sun to part shade,Rich and moist,Less than 6.8 (acidic),May to July,Violet-blue,"3 to 9, USA",Eastern North America,
118,"Blue Mistflower, Blue Boneset, Wild Ageratum, Hardy Ageratum",Conoclinium coelestinum,,Perennial,"1-3 ft. tall, 1-3 ft. wide","Full, partial","Loamy, sandy, clay, moist","Mildly acidic, neutral","Summer, fall","Blue, purple",5 through 10,"Central and southeastern U.S., Canada, West Indies",
119,"Blue Princess holly, blue holly",,Aquifoliaceae,Shrub (broadleaf evergreen),"10-15 ft. tall, 8-10 ft. wide","Full, partial","Moist, well-drained","Acidic, neutral (5.0—7.0)",Spring,White,3b-7a (USDA),Nursery hybrid,Mildly toxic to people and pets
120,"Blue rug juniper, creeping juniper, carpet juniper",Juniperus horizontalis 'Wiltonii',Cupressaceae,Evergreen shrub,"3-6 in. tall, 6-8 ft. wide",Full sun,"Moist, well-drained",Acidic to alkaline (5.0 to 8.0),,,"3-9, USA",North America,
121,"Mealycup sage, Victoria blue salvia, Victoria Blue flowering sage, mealy blue sage",Salvia farinacea,,Herbaceous perennial,"1-3 ft. tall, 1-2 ft. wide","Full sun, partial shade",Moist but well-drained,Neutral to acidic,"Late spring, summer, fall",Violet blue,8-10 (USDA),North America,
122,"Blue Spruce, Green Spruce, White Spruce, Colorado Spruce, Colorado Blue Spruce",Picea pungens,,Spruce tree,In the wild: up to 75 feet. In parks and gardens: 30 to 60 feet high and 15 to 20 feet wide.,Full sun,Acidic; loamy; moist; rich; sandy; well-drained; clay,6.0 to 7.5,Year-round growth; no flowers,No flowers; silvery-blue needles,2 to 7,"From northern New Mexico through Colorado, Utah, Idaho, and Wyoming, and into Alberta and British Columbia",
123,"Blue star juniper, flaky juniper, Himalayan juniper, singleseed juniper",Juniperus squamata'Blue Star',Cupressaceae,Perennial evergreen shrub,"1 to 3 ft. tall, 1.5 to 3 ft. wide",Full sun,Sandy,Acid to alkaline (5.0 to 8.0),,,"4-8, USA","Mountainous regions of Asia including the Himalayas, Afghanistan, and China",
124,"Column cactus, blue torch cactus, woolly torch cactus",Pilosocereus,,Cactus,"6-12 ft. tall, 2-4 ft. wide",Full sun,"Sandy, well-drained",Neutral to acidic,Summer,"White, white-yellow",9-11 (USDA),"Mexico, South America, Caribbean",
125,Blueberry,Vaccinium spp.,Ericaceae,"Fruit, perennial",,Full sun,"Sandy, well-drained",Acidic (4.0 to 5.2),Spring,,3-9 (USDA) (varies by species),North America,
126,Bobo hydrangea,,Hydrangeaceae,Deciduous shrub,"2-3 ft. tall, 3-4 ft. wide",Full sun to partial shade,"Loamy, well-drained soil",Acidic (5.8-6.2),Early to late summer,"White, gradually turning red-purple","3-8, USA","China, Japan",Toxic to dog and cats
127,"Bog onion, Jack-in-the-pulpit, wake robin",Arisaema triphyllum,,Herbaceouscorm,"1-2 ft. tall, with a similar spread",Partial shade to full shade,"Moist, humusy",Acidic,April to May,Greenish-purple,4-9 (USDA),Eastern North America,Toxic to people and pets
128,"Bok choy, Chinese cabbage, bok choi, pac choy, pac choi",Brassica rapa var. chinensis,Chinese brassicas,Biennial vegetable (usually grown as annual),,"Full sun, part shade","Rich, well-drained",6.5 to 7.0 (slightly acid to neutral),Summer,,2-11 (USDA),China,
129,"Boneset, American boneset, feverwort, thoroughwort",Eupatorium perfoliatum,,Herbaceous perennial,"Maximum 4 to 6 feet tall and 3 to 4 feet wide, but typically 3 feet tall and 1 foot wide in the wild",Full sun to partial shade,"Average in fertility, average to above-average moisture",6.5 to 7,July to September,White,"3 to 8, USDA",North America,Toxic to people
130,"Borage, starflower, tailwort",Borago officinalis,Boraginaceae,"Annual, herb",,Full sun to partial shade,Well-drained,"Acidic, neutral, alkaline (4.5-8.5)",Summer,,2-11 (USDA),Mediterranean,Toxic to people and pets
131,,Nephrolepis exaltata,Lomariopsidaceae,"Herbaceous, perennial",2 to 3 feet tall and wide,Partial sun,"Moist, well-drained",Acidic (6.0 to 6.5),Non-flowering,Non-flowering,,"Americas, Africa, Polynesia",
132,Boston ivy,Parthenocissus tricuspidata,Vitaceae,Perennial deciduous vine,30-50 ft.,Full sun to part shade,"Loamy, moist",Acidic to alkaline (5.0 to 7.5),,,"4-8, USA",China and Japan,"Toxic to people, toxic to pets"
133,"Weeping bottlebrush, red cascade",Melaleuca viminalis,Myrtaceae,"Tree, shrub","15-20 ft. tall, 15-20 ft. wide",Full,"Loamy, sandy, moist but well-drained",Slightly alkaline,"Spring, summer",Red,"9-11, USDA",Australia,
134,,,,,,,,Acidic,,,,,Mildly toxic to pets
135,Boxelder,Acer negundo,Sapindaceae,,30-50 ft. tall and wide,Full,,,,,2-10 (USDA),,Seeds are toxic to horses
136,,Buxus spp.,Buxaceae,Shrub,2-8 ft. tall (varies by species.,"Full, partial",Loamy,"Neutral, alkaline",Spring,"Green, yellow","5, 6, 7, 8, 9","Europe, Asia",Toxic to pets
137,"Water hyssop, brahmi, herb of grace",Bacopa monnieri,Plantaginacae,"Herbaceous, perennial","1-3 ft. tall, 1-4 ft. wide","Full, partial","Moist, wet; grows even in standing water",Acidic to neutral (5.0 to 7.0),Late spring to early fall,White to light pink,8-11 (USDA),"Warm wetlands of Americas, Asia, Africa",
138,,Stenocactus multicostatus,,Cactus,"Up to 5 in. tall, 6 in. wide",Full,"Sandy, well-drained","Acidic, neutral, alkaline","Spring, summer","White, pink, purple",9-11 (USDA),Central America,
139,"Spirea, bridal wreath, bridal veil spirea",Spiraea prunifolia,,Deciduous shrub,4-8 ft. tall and wide,Full sun,Any well-draining soil,6.0-7.0 (slightly acidic to neutral),Early spring,White,"5-9, (USDA)","China, Korea, and Taiwan",
140,,Thunbergia alata,,Perennial flowering vine (usually grown as an annual),"3-8 ft. tall, 3-6 ft. wide","Full, patial","Rich, well-draining loam",Slightly acidic to slightly alkaline (6.6 to 7.7),Late spring to fall,"Red, rose, orange, yellow, white (depends on cultivar)",10 to 11 (USDA),Eastern Africa,
141,"Broccoli, Sprouting Broccoli, Calabrese",Brassica oleracea var. italica,,Biennial(typically grown as an annual),"18 to 30 inches tall, 12 to 24 inches wide",Full sun,"Moist, rich, well-drained loam",Neutral (7.0),Seasonal,Green to yellow,2 to 11,"Mediterranean, Asia",
142,Bromeliad,Bromeliaceae genera,Bromeliaceae,"Perennials; family includes both epiphyte (""air plant"") and terrestrial species",Varies by genera and species,"Bright, indirect light",Fast-draining potting soil,5.0 to 6.0 (acidic),Blooms once; timing varies,"Red, green, purple, orange, yellow",10-11 (USDA); usually grown as houseplants,Tropical and subtropical Americas,
143,,Cytisus spp. and Genista spp.,,Evergreen shrub,"6-8 ft.tall, 5-6 ft. wide",Full,,"Acidic, neutral, alkaline",,"Yellow, cream, crimson, brown-red, orange, rose, mauve, lavender",5-8 (USDA),,"Toxic to cats, dogs, and humans"
144,"Browallia, Amethyst flower, Bush violet, Sapphire flower",Browallia speciosa,Solanaceae,Perennial,"1-2 ft. tall, 1-2 ft. wide","Full, partial","Sandy, clay, loamy","Neutral to acidic, acidic, alkaline","Summer, fall","Blue, purple, white","10, 11",South America,
145,"Black-eyed Susan, brown Betty, Marguerite Jaune, hairy coneflower",Rudbeckia hirta,,Herbaceous perennial,"2-3 ft. tall, 1-2 ft. wide",Full sun,"Moist to dry, well-drained",6.8,Summer,Yellow,3-7 (USDA),Central U.S.,
146,"Brown-eyed susan, thin leaved coneflower",Rudbeckia triloba,,"Biennial, short-lived perennials",Up to 5 ft. tall,,"Fertile, loam, tolerates clay and gravel",Slightly acidic,"Mid to late summer, often blooms until fall",Bright yellow,3 through 10 (USDA),"Eastern US and Midwest, south to Texas",
147,"Brugmansia, trumpet of death, Angel's trumpet, Moonflower",Brugmansia,Solanaceae,"Perennial, shrub","6-20 ft. tall, 3-15 ft. wide",Full,"Moist, but well-drained",Acidic,"Summer, fall","White, yellow, gold, orange, pink, peach",9-11 (USDA),South America,"Toxic to people, toxic to pets"
148,,Brunnera macrophylla,,"Herbaceous, perennial",12-18 in. tall; 18-30 in. spread,"Full, partial, shade","Medium moisture, well-drained","Acidic, neutral to acidic, alkaline",Spring,Blue,3-8 (USDA),"Asia, Europe",
149,Brussels sprouts,Brassica oleracea (Gemmifera group),Brassicaceae,Annual vegetable,,Full sun,Loamy,Neutral (6.5 to 7),Non-flowering,Non-flowering,2 to 9,Mediterranean,
150,Bulbous Air Plant,Tillandsia bulbosa,,,4-7 inches,"Bright, indirect light or part shade",None,None,Once per lifetime,Violet,11-Sep,,
151,"Common cattail, broadleaf cattail, bulrush",Typha latifolia,Typhaceae,"Perennial, herbaceous",Up to 10 ft. tall,"Full, partial","Moist, loamy","Acidic, neutral, alkaline",Summer,Brown,3-10 (USDA),"Europe, North America, Asia",
152,"Bunny ear cactus, angel's wings cactus, polka dot cactus",Opuntia microdasys,,Cactus,"2-3 ft. tall, 4-5 ft. spread",Full sun,"Sandy, well-draining","Acidic, neutral",Summer,"Yellow, white","9a, 9b, 10a, 10b, 11a, 11b",Mexico,
153,"Bur oak, mossycup oak",Quercus macrocarpa,Fagaceae,Tree,"70-90 ft. tall, 60-90 ft. wide",Full,"Sandy, silt, clay, loamy","Acidic, neutral, alkaline",,,"3, 4, 5, 6, 7, 8",North America,
154,,,,,,,,Neutral to acidic,,,,,
155,"Butterhead lettuce, buttercrunch lettuce",Lactuca sativa var. capitata,,Annual vegetable,9-15 in. tall,Full sun to part shade,Average to rich,Slightly acidic to neutral ( 6.0-7.0),,,2-11 (USDA); grown as annual in all zones,Mediterranean basin,
156,,,Hamamelidaceae,Deciduous shrub,4-6 ft. tall and wide,"Full, partial","Rich, medium-moisture, well-drained",Acidic (less than 6.0),Late winter to early spring,Pale yellow,,,
157,"Butterfly weed, butterfly milkweed, pleurisy root, orange milkweed",Asclepias tuberosa,Asclepiadaceae,,,,,Slightly acid to neutral (6.0 to 7.0),,,,,Mildly toxic to animals and humans
158,,Cucurbita moschata,,Annual,"9 to 18 inches tall, 10 to 15 feet wide (vine length)",Full sun,"Rich, well-drained",Acidic to neutral (5.5 to 7.0),Summer,Yellow,2 to 11,"Central America, South America",
159,Cabbage,Brassica oleracea,Brassicaceae,"Vegetable, biennial (typically grown as an annual)",,Full sun,"Loamy, well-drained","Acidic, neutral","Summer, fall(in plant's second year)",,2-11(USDA),Europe,
160,"Cactus, desert cactus, forest cactus",Cactaceae,Cactaceae,Succulent (with some exceptions),Varies depending on the variety,"Direct sun, depending on the variety","Well-draining, sandy soil",Neutral to acidic (5.5 to 7),Varies,Varies,9 to 11 (USDA),Deserts and rainforests around the world,
161,"Caladium, elephant ears",Caladium,Araceae,Tropical perennial,"12-30 in. tall, 12-24 in. wide","Indirect light (indoors), full to partial shade (outdoors)","Rich, well-drained",Slightly acidic,"Spring, summer, fall","Green, pink, white, red",9-11 (USDA),"Central America, South America",
162,"Acorus, sweet flag, calamus",Acorus,,"Herbaceous perennial, rhizome","3 in. to 3 ft. tall, 6 in. to 2 ft. wide",Full sun to part shade,"Moist to wet, variety of types",6.5-7.5,Spring,Greenish-yellow (not showy),6-9 (USDA),"Japan, China",Toxic to humans and animals
163,Calathea 'White Fusion',Calathea lietzei,Marantaceae,Herbaceous Perennial,Up to 2 ft. tall,Partial,"Moist, Well-drained",Acidic,Summer,"Yellow, purple, white","11b-12b, USDA",Central Mexico to tropical South America,
164,"Calendula, pot marigold, common marigold",Calendula officinalis,Asteraceae,"Herbaceous perennial flower, usually grown as an annual",1-2 ft. tall and wide,Full sun to part shade,Well-drained,Neutral (6.0 to 7.0),May to early fall,"Yellow, orange, red, cream, pink","2a-11b, USDA","Southern Europe, Mediterranean",
165,"Calibrachoa, million bells, trailing petunia, mini petunia",Calibrachoa group,Solanaceae,Herbaceous perennial flower often grown as an annual,"6-12 in. tall, 12-24 in. wide",Full sun to part shade,"Moist, rich, well-drained",5.0-6.5 (acidic),Spring to fall,"Coral, yellow, orange, red, pink, blue, purple, burgundy, lavender, cream",9-11 (USDA); grown as an annual in all zones,South America,
166,"California Fan Palm, Desert Fan Palm",Washingtonia filifera,Arecaceae,Tree,"30 to 80 ft. tall, 15 ft. wide","Full, Partial","Loamy, Sandy, Moist but well-drained","Acidic, Neutral, Alkaline",Summer,White,"8-11, USA",North America,
167,,,,,,,,,,,,,
168,"Calypso orchid, fairy slipper, Venus' slipper",Calypso bulbosa,Orchidaceae,Perennial,"3-6 in. tall, 3 in. wide","Partial, shade","Moist, well-drained",Acidic,"Spring, summer","Pink, purple, red, white","4-8, USA","North America, Eurasia",
169,,Camellia spp.,,Broadleaf evergreen shrub,2 to 12 feet (depending on variety),Part shade,"Moist, rich soil",5.5 to 6.5 (acidic),"Late fall, winter, and early spring","White, pink, red, yellow, or lavender",7 to 9 (USDA); a few varieties hardy in zone 6B,"Japan, China, Korea",
170,Camphor tree,Cinnamomum camphora,,,"50-65 ft. tall, 50-60 ft. wide",Full sun,"Moist, fertile, sandy soil",Slightly acidic to very basic,April,Inconspicuous,USDA 9-11,,"Toxic to people, toxic to cats, toxic to dogs"
171,"Campion, Catchfly, Weed Silene, Fire Pink",Silene,,Perennial (sometimes annual),"Three-quarters of an inch to 4 feet tall, depending on variety","Full sun to part shade, depending on variety","Neutral to acidic, rich in humus",7-May,Spring and Summer,"Red, white, pink, sometimes blue",8-May,North American grasslands,
172,"Blue Spur Flower, Candlestick Plant, Speckled Spur Flower, Zulu Wonder","Plectranthusbarbatus,Coleus barbatus",,Perennial,5 feet tall,Sun to partial shade,"Rich, well-draining",Neutral to acidic,Late summer to early fall,Lavender,9 to 11,Africa,
173,Candytuft,Iberis Sempervirens,,Perennial,"12-18 in. tall, 12-16 in. wide","Full, partial","Well-drained, gravelly",Alkaline,Spring,"White, pink, lilac, red",4 to 8 (USDA),Mediterranean,
174,"Canna, canna lily",Canna spp.,Cannaceae,"Perennial, grown as an annual in colder zones","1 1/2-8 ft. tall, 1 1/2-6 ft. wide",Full sun,"Rich, moist, well-draining",Acidic (6.0 to 6.5),Summer,"Red, orange, yellow, pink, cream, white; solid color or with contrasting spots",,"South America, Central America, West Indies, Mexico, southeastern United States",
175,Canna lily,Canna × generalis,Cannaceae,Annual,"1.5-10 ft. tall, 1.5-6 ft. wide",Full,Moist,Acidic,Summer,"Yellow, orange, red, pink","8, 9, 10, 11",Caribbean,
176,"Cantaloupe, rockmelon, muskmelon",Cucumis. melo var. reticulatus,,,Vine grows up to 18 in. tall and spreads up to 6 ft. The fruit usually weighs around 4 lbs.,Full sun,"Loamy, sandy, well draining","Slightly acidic, neutral (6.0 to 6.5)",Differs,Yellow,5-11 (USDA),,
177,Cape honeysuckle,Tecoma capensis,Bignoniaceae,Flowering broadleaf evergreen shrub,"3-10 ft. tall as a shrub, 25-30 ft. long as a vine","Full, partial",Well-drained,Acidic to alkaline (5.0-8.0),Fall to spring,"Yellow, red, orange, peach",,South Africa,
178,Caper bush,Capparis spinosa,,Evergreen shrub,"2-3 ft. tall, 3-6 ft. wide",Full sun,"Dry, well-drained",Neutral to acidic,"Spring, summer, early fall",White,8-10 (USDA),Europe,
179,"Cardamom, Cardamon, Cardamum, Green Cardamom, True Cardamom",Elettaria cardamomum,,"Herbaceous, evergreen, rhizomatous perennial","6 - 15 ft. tall, 4 - 10 ft. wide outdoors, 2 - 4 ft. tall indoors",Part to full shade,Loam,"5.1 - 5.5 (strongly acidic), 6.1 - 6.5 (mildly acidic)",April to May,White or yellowish,"10-12, USDA","Asia (India, Burma and Sri Lanka)",
180,,Zamia furfuracea,,Perennial,"3-5 ft. tall, 4-6 ft. wide",Full,"Sandy, well-drained",Acidic,None,None,9-11 (USDA),Central America,Toxic to people and pets
181,Cardinal climber,Ipomoea×multifida,Convolvulaceae,Annual flowering vine,"6-12 ft. tall,9- 2 in. spread","Full sun, tolerates some shade",Well-drained,Neutral (6.0 to 7.2),Midsummer until frost,"Red, with yellow or white throats","3-11, USA","Hybrid plant, no native range","Toxic to dogs, toxic to cats"
182,Cardinal flower,Lobelia cardinalis,Campanulaceae (Bellflower),Herbaceous perennial,3-4 ft. tall; 1-2 ft. wide,Full to partial,Moist,Slightly acidic to neutral,Summer to early fall,"Red, pink, white",2-9 (USDA),The United States and Canada,Toxic to humans and pets
183,"Carnation, pinks",Dianthus caryophyllus,,Flowering perennial,12-18 inches,Full sun to partial shade,"Alkaline, fertile, well drained",8-Jul,late spring; reblooms,"white, pink, red",USDA 7-10,"Italy, Spain, Greece, Croatia",
184,"Carolina allspice, sweet shrub, spice bush",Calycanthus floridus,Calycanthaceae,Flowering shrub,6-9 ft. tall,Full sun to shade,Well-draining,Tolerant of most soils,Mid-spring,Yellow to brown,5b-10a (USDA),Southeastern United States,Berries and seeds are toxic to pets and people
